; Gadget version 2.2.00-BETA running on hafblika Wed Feb 20 10:09:44 2019
; a simulation run was performed giving a likelihood value of 0
switch	value		lower	upper	optimise
wolf.Linf	           1	   -9999     9999        0
wolfimm.k	           1	   -9999     9999        0
wolfimm.walpha	           1	   -9999     9999        0
wolfimm.wbeta	           1	   -9999     9999        0
wolf.bbin	           1	   -9999     9999        0
wolfimm.M	           1	   -9999     9999        0
wolfimm.init.scalar	           1	   -9999     9999        0
wolf.init.F	           1	   -9999     9999        0
wolfimm.init.1	           1	   -9999     9999        0
wolfimm.init.2	           1	   -9999     9999        0
wolfimm.init.3	           1	   -9999     9999        0
wolfimm.init.4	           1	   -9999     9999        0
wolfimm.init.5	           1	   -9999     9999        0
wolfimm.init.6	           1	   -9999     9999        0
wolfimm.init.7	           1	   -9999     9999        0
wolfimm.init.8	           1	   -9999     9999        0
wolfimm.init.9	           1	   -9999     9999        0
wolfimm.init.10	           1	   -9999     9999        0
wolfimm.init.11	           1	   -9999     9999        0
wolfimm.init.12	           1	   -9999     9999        0
wolfimm.init.13	           1	   -9999     9999        0
wolfimm.init.14	           1	   -9999     9999        0
wolfimm.init.15	           1	   -9999     9999        0
wolfimm.init.16	           1	   -9999     9999        0
wolfimm.init.17	           1	   -9999     9999        0
wolfimm.init.18	           1	   -9999     9999        0
wolfimm.init.19	           1	   -9999     9999        0
wolfimm.init.20	           1	   -9999     9999        0
wolfimm.init.21	           1	   -9999     9999        0
wolfimm.init.22	           1	   -9999     9999        0
wolfimm.init.23	           1	   -9999     9999        0
wolf.recl	           1	   -9999     9999        0
wolf.mat1	           1	   -9999     9999        0
wolf.mat2	           1	   -9999     9999        0
wolf.rec.scalar	           1	   -9999     9999        0
wolf.rec.1982	           1	   -9999     9999        0
wolf.rec.sd	           1	   -9999     9999        0
wolf.rec.1983	           1	   -9999     9999        0
wolf.rec.1984	           1	   -9999     9999        0
wolf.rec.1985	           1	   -9999     9999        0
wolf.rec.1986	           1	   -9999     9999        0
wolf.rec.1987	           1	   -9999     9999        0
wolf.rec.1988	           1	   -9999     9999        0
wolf.rec.1989	           1	   -9999     9999        0
wolf.rec.1990	           1	   -9999     9999        0
wolf.rec.1991	           1	   -9999     9999        0
wolf.rec.1992	           1	   -9999     9999        0
wolf.rec.1993	           1	   -9999     9999        0
wolf.rec.1994	           1	   -9999     9999        0
wolf.rec.1995	           1	   -9999     9999        0
wolf.rec.1996	           1	   -9999     9999        0
wolf.rec.1997	           1	   -9999     9999        0
wolf.rec.1998	           1	   -9999     9999        0
wolf.rec.1999	           1	   -9999     9999        0
wolf.rec.2000	           1	   -9999     9999        0
wolf.rec.2001	           1	   -9999     9999        0
wolf.rec.2002	           1	   -9999     9999        0
wolf.rec.2003	           1	   -9999     9999        0
wolf.rec.2004	           1	   -9999     9999        0
wolf.rec.2005	           1	   -9999     9999        0
wolf.rec.2006	           1	   -9999     9999        0
wolf.rec.2007	           1	   -9999     9999        0
wolf.rec.2008	           1	   -9999     9999        0
wolf.rec.2009	           1	   -9999     9999        0
wolf.rec.2010	           1	   -9999     9999        0
wolf.rec.2011	           1	   -9999     9999        0
wolf.rec.2012	           1	   -9999     9999        0
wolf.rec.2013	           1	   -9999     9999        0
wolf.rec.2014	           1	   -9999     9999        0
wolf.rec.2015	           1	   -9999     9999        0
wolf.rec.2016	           1	   -9999     9999        0
wolf.rec.2017	           1	   -9999     9999        0
wolf.rec.2018	           1	   -9999     9999        0
wolfmat.k.1	           1	   -9999     9999        0
wolfmat.k.2	           1	   -9999     9999        0
wolfmat.k.3	           1	   -9999     9999        0
wolfmat.k.4	           1	   -9999     9999        0
wolfmat.M	           1	   -9999     9999        0
wolfmat.init.scalar	           1	   -9999     9999        0
wolfmat.init.5	           1	   -9999     9999        0
wolfmat.init.6	           1	   -9999     9999        0
wolfmat.init.7	           1	   -9999     9999        0
wolfmat.init.8	           1	   -9999     9999        0
wolfmat.init.9	           1	   -9999     9999        0
wolfmat.init.10	           1	   -9999     9999        0
wolfmat.init.11	           1	   -9999     9999        0
wolfmat.init.12	           1	   -9999     9999        0
wolfmat.init.13	           1	   -9999     9999        0
wolfmat.init.14	           1	   -9999     9999        0
wolfmat.init.15	           1	   -9999     9999        0
wolfmat.init.16	           1	   -9999     9999        0
wolfmat.init.17	           1	   -9999     9999        0
wolfmat.init.18	           1	   -9999     9999        0
wolfmat.init.19	           1	   -9999     9999        0
wolfmat.init.20	           1	   -9999     9999        0
wolfmat.init.21	           1	   -9999     9999        0
wolfmat.init.22	           1	   -9999     9999        0
wolfmat.init.23	           1	   -9999     9999        0
wolfmat.walpha	           1	   -9999     9999        0
wolfmat.wbeta	           1	   -9999     9999        0
wolf.igfs.alpha	           1	   -9999     9999        0
wolf.igfs.l50	           1	   -9999     9999        0
wolf.aut.alpha	           1	   -9999     9999        0
wolf.aut.l50	           1	   -9999     9999        0
wolf.lln.alpha	           1	   -9999     9999        0
wolf.lln.l50	           1	   -9999     9999        0
wolf.bmt.alpha	           1	   -9999     9999        0
wolf.bmt.l50	           1	   -9999     9999        0
wolf.gil.alpha	           1	   -9999     9999        0
wolf.gil.l50	           1	   -9999     9999        0
