"year","bottom trawl","danish seine","gillnets","long line","Other"
2000,150,0,200,650,0
2001,37,0,193,550,0
2002,150,0,166,519,0
2003,100,0,100,900,50
2004,100,46,50,750,50
2005,181,0,0,750,50
2006,450,0,289,1138,100
2007,100,50,0,1300,0
2008,315,0,150,1950,50
2009,250,0,150,2550,150
2010,450,0,50,2498,400
2011,450,50,0,2546,250
2012,541,50,50,3526,400
2013,350,50,100,2590,450
2014,399,20,225,665,514
2015,484,0,300,595,520
2016,460,0,345,440,220
2017,370,0,85,310,225
