"ar","gear","c","total","percentage"
2017,"Longlines",5975.469,8765.534,0.681700510202801
2017,"Gill nets",555.647,8765.534,0.0633899771537022
2017,"Other",709.477,8765.534,0.0809393928538752
2017,"Bottom trawl",1524.941,8765.534,0.173970119789621
