"ad.year","trial","F","refbio","ssb","totalbio","catch","rec","hr"
"2014/2015",0,0.4677239,35803345.8360537,34554901.9304257,49678692.9917526,13358377,2550877,0.380723764574371
"2014/2015",1,0.4677239,35803345.8360537,34554901.9304257,49678692.9917526,13358377,2550877,0.380723764574371
"2015/2016",0,0.39004845,35100283.2095214,33439213.7861995,45439606.8296973,11077739,3292758.8,0.320705028461098
"2015/2016",1,0.39004845,35100283.2095214,33439213.7861995,45439606.8296973,11077739,3292758.8,0.320705028461098
"2016/2017",0,0.2864618275,34620189.1673755,33105211.8992347,43265704.9951649,8335860,2938228.7,0.244218814212145
"2016/2017",1,0.2864618275,34620189.1673755,33105211.8992347,43265704.9951649,8335860,2938228.7,0.244218814212145
"2017/2018",0,0.2892209725,33343099.3240305,32304055.7124329,41359837.4878724,8598009,2938228.7,0.262797413314391
"2017/2018",1,0.2892209725,33343099.3240305,32304055.7124329,41359837.4878724,8598009,2938228.7,0.262797413314391
"2018/2019",0,0,32441144.8673544,31782436.6431187,40375199.5821165,0,2938228.7,0
"2018/2019",1,0.2109013575,30989035.9221324,30394462.6874245,38872858.528168,5917405.2,2938228.7,0.190949788736313
"2019/2020",0,0,38492808.437419,37702809.5988355,46569803.320516,0,2938228.7,0
"2019/2020",1,0.196466725,31064609.3754393,30546303.049341,38975945.2617762,5580480.4,2938228.7,0.179487539203606
"2020/2021",0,0,44615270.3761523,43519642.5933505,52709594.1115564,0,2938228.7,0
"2020/2021",1,0.195726525,31257373.927508,30599946.3105414,39149700.8725911,5602476.4,2938228.7,0.179184838738388
"2021/2022",0,0,NA,NA,NA,0,NA,0
"2021/2022",1,0.196494065,NA,NA,NA,1407739.2,NA,0.179831108376001
